
Año;Zona;Total;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2015;01. Centro;2.184;158;170;243;217;208;198;186;130;165;152;151;206
2015;02. Arganzuela;713;55;63;80;79;73;52;63;44;53;39;64;48
2015;03. Retiro;323;23;22;26;34;37;32;26;11;23;27;34;28
2015;04. Salamanca;1.021;124;107;86;80;97;92;54;55;67;88;96;75
2015;05. Chamartín;630;70;43;81;45;67;59;41;18;53;51;61;41
2015;06. Tetuán;552;44;39;53;63;58;62;51;44;34;30;38;36
2015;07. Chamberí;445;36;34;41;37;52;43;30;32;35;42;34;29
2015;08. Fuencarral-El Pardo;418;44;25;52;23;47;26;42;31;34;36;21;37
2015;09. Moncloa-Aravaca;360;29;48;28;28;26;20;28;21;33;35;40;24
2015;10. Latina;682;53;55;52;64;86;56;47;32;72;78;53;34
2015;11. Carabanchel;1.177;76;70;88;101;122;100;114;101;98;103;70;134
2015;12. Usera;823;52;63;80;66;82;84;64;56;70;69;74;63
2015;13. Puente de Vallecas;998;69;102;111;76;104;88;75;75;72;67;86;73
2015;14. Moratalaz;106;10;8;9;5;16;10;12;9;8;4;7;8
2015;15. Ciudad Lineal;508;42;43;54;42;53;36;56;28;47;33;38;36
2015;16. Hortaleza;279;37;26;42;21;13;30;21;16;20;19;10;24
2015;17. Villaverde;580;42;36;53;62;60;49;62;49;37;56;29;45
2015;18. Villa de Vallecas;397;19;33;50;44;42;38;40;23;27;40;24;17
2015;19. Vicálvaro;363;39;38;20;35;44;39;23;26;23;13;35;28
2015;20. San Blas-Canillejas;439;57;48;45;31;32;38;32;21;28;28;30;49
2015;21. Barajas;212;16;18;12;14;32;13;11;13;21;13;19;30
2015;Otras zonas;10;1;0;0;0;0;0;0;0;0;0;9;0
2016;Ciudad de Madrid;12.291;982;1.027;1.016;1.095;1.042;1.034;916;869;912;1.040;1.091;1.267
2016;01. Centro;2.381;159;196;187;201;161;147;175;144;154;207;214;436
2016;02. Arganzuela;672;53;60;84;77;73;49;55;32;61;44;41;43
2016;03. Retiro;331;32;31;33;35;27;35;35;22;14;18;22;27
2016;04. Salamanca;864;60;65;58;75;62;49;44;60;82;121;92;96
2016;05. Chamartín;572;49;54;38;38;55;61;22;51;44;43;61;56
2016;06. Tetuán;488;43;56;47;57;58;48;25;36;25;27;43;23
2016;07. Chamberí;493;28;56;37;41;30;31;34;29;37;69;60;41
